Tick Block StakeCount0 TotalStakeQspWei0 totalStakers0 DepositQspWei0 PoolState0 PoolSizeQspWei0 MinStakeStartBlock0 StakeCount1 TotalStakeQspWei1 totalStakers1 DepositQspWei1 PoolState1 PoolSizeQspWei1 MinStakeStartBlock1 StakeCount2 TotalStakeQspWei2 totalStakers2 DepositQspWei2 PoolState2 PoolSizeQspWei2 MinStakeStartBlock2 StakeCount3 TotalStakeQspWei3 totalStakers3 DepositQspWei3 PoolState3 PoolSizeQspWei3 MinStakeStartBlock3 ActionOfAgent0 WithdrawInterestAgent0 PoolId WithdrawInterestAgent0 PoolId WithdrawInterestAgent0 PoolId WithdrawInterestAgent0 PoolId ActionOfAgent1 WithdrawInterestAgent1 PoolId WithdrawInterestAgent1 PoolId WithdrawInterestAgent1 PoolId WithdrawInterestAgent1 PoolId ActionOfAgent2 WithdrawInterestAgent2 PoolId WithdrawInterestAgent2 PoolId WithdrawInterestAgent2 PoolId WithdrawInterestAgent2 PoolId ActionOfAgent3 WithdrawInterestAgent3 PoolId WithdrawInterestAgent3 PoolId WithdrawInterestAgent3 PoolId WithdrawInterestAgent3 PoolId ActionOfAgent4 WithdrawInterestAgent4 PoolId WithdrawInterestAgent4 PoolId WithdrawInterestAgent4 PoolId WithdrawInterestAgent4 PoolId Method0 Amount0 PoolId0 Error0 Method1 Amount1 PoolId1 Error1 Method2 Amount2 PoolId2 Error2 Method3 Amount3 PoolId3 Error3 Method4 Amount4 PoolId4 Error4 RewardAgent0 BalanceAgent0 RewardAgent1 BalanceAgent1 RewardAgent2 BalanceAgent2 RewardAgent3 BalanceAgent3 RewardAgent4 BalanceAgent4
1 41277 0 0 2 150000000000000000000 1 0 0 0 0 2 2e+22 1 0 0 0 0 2 1e+22 1 0 0 0 0 2 5e+21 1 0 0 6 0 0 0 1 0 2 0 3 4 0 0 0 1 0 2 0 3 4 0 0 0 1 0 2 0 3 2 0 0 0 1 0 2 0 3 2 0 0 0 1 0 2 0 3 stakeFunds 100000000000000000000 3 0 stakeFunds 100000000000000000000 2 0 stakeFunds 100000000000000000000 2 0 stakeFunds 100000000000000000000 1 0 stakeFunds 100000000000000000000 1 0 1600000000000000000 1.752e+21 183333333333333300 1.593e+21 183333333333333300 1.279e+21 625000000000000000 1.584e+21 625000000000000000 1.367e+21
2 41287 0 0 2 150000000000000000000 1 0 0 2 200000000000000000000 2 2e+22 4 200000000000000000000 41286 2 200000000000000000000 2 1e+22 4 200000000000000000000 41284 1 100000000000000000000 2 5e+21 4 100000000000000000000 41283 4 0 0 1 1 1 2 1 3 2 0 0 1 1 1 2 1 3 4 0 0 1 1 1 2 1 3 2 0 0 1 1 1 2 1 3 2 0 0 1 1 1 2 1 3 stakeFunds 100000000000000000000 2 0 stakeFunds 100000000000000000000 1 0 stakeFunds 100000000000000000000 2 0 stakeFunds 100000000000000000000 1 0 stakeFunds 100000000000000000000 1 0 20370370370370370 1.66e+21 69444444444444450 1.493e+21 20370370370370370 1.179e+21 69444444444444450 1.484e+21 69444444444444450 1.267e+21
3 41312 0 0 2 150000000000000000000 1 0 0 5 500000000000000000000 2 2e+22 4 500000000000000000000 41286 4 400000000000000000000 2 1e+22 4 400000000000000000000 41284 1 100000000000000000000 2 4.992e+21 4 100000000000000000000 41283 6 0 0 1 1 1 2 1 3 0 0 0 1 1 1 2 1 3 4 0 0 1 1 1 2 1 3 2 0 0 1 1 1 2 1 3 0 0 0 1 1 1 2 1 3 stakeFunds 100000000000000000000 3 0 stakeFunds 100000000000000000000 0 0 stakeFunds 100000000000000000000 2 0 stakeFunds 100000000000000000000 1 1 stakeFunds 100000000000000000000 0 0 800000000000000000 1.6e+21 500000000000000000 1.393e+21 2820512820512821 1.079e+21 0 1.484e+21 500000000000000000 1.169e+21
4 41337 2 200000000000000000000 2 150000000000000000000 4 200000000000000000000 41334 5 500000000000000000000 2 1.9998e+22 4 500000000000000000000 41286 5 500000000000000000000 2 1e+22 4 500000000000000000000 41284 2 200000000000000000000 2 4.952e+21 4 200000000000000000000 41283 2 1 0 1 1 1 2 1 3 6 1 0 1 1 1 2 1 3 6 1 0 1 1 1 2 1 3 0 1 0 1 1 1 2 1 3 6 1 0 1 1 1 2 1 3 stakeFunds 100000000000000000000 1 1 stakeFunds 100000000000000000000 3 0 stakeFunds 100000000000000000000 3 0 stakeFunds 100000000000000000000 0 0 stakeFunds 100000000000000000000 3 0 0 1.624e+21 177777777777777760 1.293e+21 177777777777777760 979000000000000000000 55555555555555560 1.388e+21 177777777777777760 1.076e+21
5 41367 3 300000000000000000000 2 145000000000000000000 4 300000000000000000000 41334 5 500000000000000000000 2 1.9992e+22 4 500000000000000000000 41286 5 500000000000000000000 2 1e+22 4 500000000000000000000 41284 5 500000000000000000000 2 4.928e+21 4 500000000000000000000 41283 2 1 0 1 1 1 2 1 3 2 1 0 1 1 1 2 1 3 0 1 0 1 1 1 2 1 3 0 1 0 1 1 1 2 1 3 4 1 0 1 1 1 2 1 3 stakeFunds 100000000000000000000 1 1 stakeFunds 100000000000000000000 1 1 stakeFunds 100000000000000000000 0 0 stakeFunds 100000000000000000000 0 0 stakeFunds 100000000000000000000 2 0 0 1.6432e+21 0 1.3015333333333332e+21 17857142857142858 883800000000000000000 17857142857142858 1.29e+21 1455026455026455 987733333333333400000
6 41397 5 500000000000000000000 2 138333333333333330000 4 500000000000000000000 41334 5 500000000000000000000 2 1.9986e+22 4 500000000000000000000 41286 6 600000000000000000000 2 1e+22 4 600000000000000000000 41284 5 500000000000000000000 2 4.8944e+21 4 500000000000000000000 41283 6 1 0 1 1 1 2 1 3 4 1 0 1 1 1 2 1 3 2 1 0 1 1 1 2 1 3 6 1 0 1 1 1 2 1 3 0 1 0 1 1 1 2 1 3 stakeFunds 100000000000000000000 3 0 stakeFunds 100000000000000000000 2 0 stakeFunds 100000000000000000000 1 1 stakeFunds 100000000000000000000 3 0 stakeFunds 100000000000000000000 0 0 12698412698412700 1.5624e+21 844854070660522.2 1.2171333333333332e+21 0 893400000000000000000 12698412698412700 1.198e+21 3968253968253968 905333333333333400000
7 41427 6 600000000000000000000 2 126333333333333330000 4 600000000000000000000 41334 5 500000000000000000000 2 1.9976e+22 4 500000000000000000000 41286 7 700000000000000000000 2 1e+22 4 700000000000000000000 41284 7 700000000000000000000 2 4.8464e+21 4 700000000000000000000 41283 6 1 0 1 1 1 2 1 3 0 1 0 1 1 1 2 1 3 4 1 0 1 1 1 2 1 3 6 1 0 1 1 1 2 1 3 0 1 0 1 1 1 2 1 3 stakeFunds 100000000000000000000 3 0 stakeFunds 100000000000000000000 0 0 stakeFunds 100000000000000000000 2 0 stakeFunds 100000000000000000000 3 1 stakeFunds 100000000000000000000 0 0 4651162790697674 1.527257142857143e+21 2304147465437788 1.1312285714285714e+21 532945736434108.56 807161904761904800000 0 1.2095714285714287e+21 2304147465437788 819523809523809500000
8 41457 8 800000000000000000000 2 113000000000000000000 4 800000000000000000000 41334 5 500000000000000000000 2 1.9968e+22 4 500000000000000000000 41286 8 800000000000000000000 2 9.992857142857143e+21 4 800000000000000000000 41284 8 750000000000000000000 2 4.8064e+21 4 750000000000000000000 41283 6 1 0 1 1 1 2 1 3 4 1 0 1 1 1 2 1 3 2 1 0 1 1 1 2 1 3 0 1 0 1 1 1 2 1 3 2 1 0 1 1 1 2 1 3 stakeFunds 100000000000000000000 3 1 stakeFunds 100000000000000000000 2 0 stakeFunds 100000000000000000000 1 1 stakeFunds 100000000000000000000 0 0 stakeFunds 100000000000000000000 1 1 0 1.550115476190476e+21 357374918778427.56 1.0401285714285714e+21 0 817936904761904700000 974658869395711.6 1.1237214285714286e+21 0 832923809523809500000
9 41487 9 900000000000000000000 2 100500000000000000000 4 900000000000000000000 41334 5 500000000000000000000 2 1.9962e+22 4 500000000000000000000 41286 9 900000000000000000000 2 9.986607142857144e+21 4 900000000000000000000 41284 8 750000000000000000000 2 4.761066666666667e+21 4 750000000000000000000 41283 4 1 0 1 1 1 2 1 3 0 1 0 1 1 1 2 1 3 4 1 0 1 1 1 2 1 3 0 1 0 1 1 1 2 1 3 6 1 0 1 1 1 2 1 3 stakeFunds 100000000000000000000 2 0 stakeFunds 100000000000000000000 0 0 stakeFunds 100000000000000000000 2 1 stakeFunds 100000000000000000000 0 0 stakeFunds 100000000000000000000 3 1 251141552511415.53 1.472515476190476e+21 684931506849315.1 950750793650793600000 0 829336904761904700000 684931506849315.1 1.0354547619047619e+21 0 845768253968254000000
10 41517 11 1.1e+21 2 88277777777777770000 4 1.1e+21 41334 5 500000000000000000000 2 1.9956e+22 4 500000000000000000000 41286 10 1e+21 2 9.983829365079365e+21 4 1e+21 41284 8 750000000000000000000 2 4.7130666666666665e+21 4 750000000000000000000 41283 0 1 0 1 1 1 2 1 3 6 1 0 1 1 1 2 1 3 0 1 0 1 1 1 2 1 3 2 1 0 1 1 1 2 1 3 6 1 0 1 1 1 2 1 3 stakeFunds 100000000000000000000 0 0 stakeFunds 100000000000000000000 3 1 stakeFunds 100000000000000000000 0 0 stakeFunds 100000000000000000000 1 1 stakeFunds 100000000000000000000 3 1 375375375375375.4 1.394915476190476e+21 0 962787157287157200000 375375375375375.4 736645995670995700000 0 1.0504002164502165e+21 0 860713708513708500000
