Tick Block StakeCount0 TotalStakeQspWei0 totalStakers0 DepositQspWei0 PoolState0 PoolSizeQspWei0 MinStakeStartBlock0 StakeCount1 TotalStakeQspWei1 totalStakers1 DepositQspWei1 PoolState1 PoolSizeQspWei1 MinStakeStartBlock1 StakeCount2 TotalStakeQspWei2 totalStakers2 DepositQspWei2 PoolState2 PoolSizeQspWei2 MinStakeStartBlock2 StakeCount3 TotalStakeQspWei3 totalStakers3 DepositQspWei3 PoolState3 PoolSizeQspWei3 MinStakeStartBlock3 StakeCount4 TotalStakeQspWei4 totalStakers4 DepositQspWei4 PoolState4 PoolSizeQspWei4 MinStakeStartBlock4 ActionOfAgent0 WithdrawInterestAgent0 PoolId WithdrawInterestAgent0 PoolId WithdrawInterestAgent0 PoolId WithdrawInterestAgent0 PoolId WithdrawInterestAgent0 PoolId ActionOfAgent1 WithdrawInterestAgent1 PoolId WithdrawInterestAgent1 PoolId WithdrawInterestAgent1 PoolId WithdrawInterestAgent1 PoolId WithdrawInterestAgent1 PoolId ActionOfAgent2 WithdrawInterestAgent2 PoolId WithdrawInterestAgent2 PoolId WithdrawInterestAgent2 PoolId WithdrawInterestAgent2 PoolId WithdrawInterestAgent2 PoolId ActionOfAgent3 WithdrawInterestAgent3 PoolId WithdrawInterestAgent3 PoolId WithdrawInterestAgent3 PoolId WithdrawInterestAgent3 PoolId WithdrawInterestAgent3 PoolId ActionOfAgent4 WithdrawInterestAgent4 PoolId WithdrawInterestAgent4 PoolId WithdrawInterestAgent4 PoolId WithdrawInterestAgent4 PoolId WithdrawInterestAgent4 PoolId Method0 Amount0 PoolId0 Error0 Method1 Amount1 PoolId1 Error1 Method2 Amount2 PoolId2 Error2 Method3 Amount3 PoolId3 Error3 Method4 Amount4 PoolId4 Error4 RewardAgent0 BalanceAgent0 RewardAgent1 BalanceAgent1 RewardAgent2 BalanceAgent2 RewardAgent3 BalanceAgent3 RewardAgent4 BalanceAgent4
1 19996 0 0 2 150000000000000000000 1 0 0 0 0 2 2e+22 1 0 0 0 0 2 1e+22 1 0 0 0 0 2 5e+21 1 0 0 0 0 2 1e+22 1 0 0 0 0 0 0 1 0 2 0 3 0 4 8 0 0 0 1 0 2 0 3 0 4 0 0 0 0 1 0 2 0 3 0 4 2 0 0 0 1 0 2 0 3 0 4 0 0 0 0 1 0 2 0 3 0 4 stakeFunds 100000000000000000000 0 0 stakeFunds 100000000000000000000 4 0 stakeFunds 100000000000000000000 0 0 stakeFunds 100000000000000000000 1 0 stakeFunds 100000000000000000000 0 0 500000000000000000 1.752e+21 -2.0003998e+23 1.593e+21 500000000000000000 1.279e+21 125000000000000000 1.584e+21 500000000000000000 1.367e+21
2 20006 3 300000000000000000000 2 150000000000000000000 4 300000000000000000000 20002 1 100000000000000000000 2 2e+22 4 100000000000000000000 20005 0 0 2 1e+22 1 0 0 0 0 2 5e+21 1 0 0 1 100000000000000000000 2 1e+22 4 100000000000000000000 20003 2 1 0 1 1 0 2 0 3 1 4 2 1 0 1 1 0 2 0 3 1 4 8 1 0 1 1 0 2 0 3 1 4 0 1 0 1 1 0 2 0 3 1 4 2 1 0 1 1 0 2 0 3 1 4 stakeFunds 100000000000000000000 1 0 stakeFunds 100000000000000000000 1 0 stakeFunds 100000000000000000000 4 0 stakeFunds 100000000000000000000 0 0 stakeFunds 100000000000000000000 1 0 62500000000000000 1.652e+21 62500000000000000 1.493e+21 -2.0001999e+23 1.179e+21 17857142857142858 1.484e+21 62500000000000000 1.267e+21
3 20040 4 400000000000000000000 2 150000000000000000000 4 400000000000000000000 20002 4 400000000000000000000 2 2e+22 4 400000000000000000000 20005 0 0 2 1e+22 1 0 0 0 0 2 5e+21 1 0 0 2 200000000000000000000 2 1e+22 4 200000000000000000000 20003 2 1 0 1 1 0 2 0 3 1 4 2 1 0 1 1 0 2 0 3 1 4 4 1 0 1 1 0 2 0 3 1 4 6 1 0 1 1 0 2 0 3 1 4 2 1 0 1 1 0 2 0 3 1 4 stakeFunds 100000000000000000000 1 0 stakeFunds 100000000000000000000 1 0 stakeFunds 100000000000000000000 2 0 stakeFunds 100000000000000000000 3 0 stakeFunds 100000000000000000000 1 0 1923076923076923.2 1.5545e+21 1923076923076923.2 1.393e+21 73333333333333330 1.084e+21 2000000000000000000 1.387e+21 1923076923076923.2 1.172e+21
4 20065 4 400000000000000000000 2 135000000000000000000 4 400000000000000000000 20002 7 700000000000000000000 2 1.99995e+22 4 4.30703125e+21 20005 1 100000000000000000000 2 1e+22 4 100000000000000000000 20063 1 100000000000000000000 2 5e+21 4 100000000000000000000 20064 2 200000000000000000000 2 1e+22 4 200000000000000000000 20003 4 1 0 1 1 1 2 1 3 1 4 6 1 0 1 1 1 2 1 3 1 4 6 1 0 1 1 1 2 1 3 1 4 8 1 0 1 1 1 2 1 3 1 4 2 1 0 1 1 1 2 1 3 1 4 stakeFunds 100000000000000000000 2 0 stakeFunds 100000000000000000000 3 0 stakeFunds 100000000000000000000 3 0 stakeFunds 100000000000000000000 4 0 stakeFunds 100000000000000000000 1 0 36666666666666664 1.4595464356974423e+21 1000000000000000000 1.2930464356974424e+21 1000000000000000000 986500000000000000000 -2.0000444222222222e+23 1.3295464356974423e+21 363372093023255.75 1.0770464356974424e+21
5 20100 4 400000000000000000000 2 120000000000000000000 4 400000000000000000000 20002 8 800000000000000000000 2 1.999931425721023e+22 4 6.969921875e+21 20005 2 200000000000000000000 2 1e+22 4 221200000000000000000 20063 3 300000000000000000000 2 4.96e+21 4 300000000000000000000 20064 3 300000000000000000000 2 1e+22 4 300000000000000000000 20003 6 1 0 1 1 1 2 1 3 1 4 8 1 0 1 1 1 2 1 3 1 4 8 1 0 1 1 1 2 1 3 1 4 4 1 0 1 1 1 2 1 3 1 4 2 1 0 1 1 1 2 1 3 1 4 stakeFunds 100000000000000000000 3 0 stakeFunds 100000000000000000000 4 0 stakeFunds 100000000000000000000 4 0 stakeFunds 100000000000000000000 2 0 stakeFunds 100000000000000000000 1 0 71428571428571430 1.3622930310009227e+21 -2.0000142785714287e+23 1.2000973426824412e+21 -2.0000142785714287e+23 901500000000000000000 8148148148148148 1.2578797690307758e+21 243664717348927.88 980094101448717400000
6 20135 4 400000000000000000000 2 105000000000000000000 4 400000000000000000000 20002 9 900000000000000000000 2 1.999813575583714e+22 4 1.09142578125e+22 20005 3 300000000000000000000 2 1e+22 4 321200000000000000000 20063 4 400000000000000000000 2 4.92e+21 4 400000000000000000000 20064 5 500000000000000000000 2 1e+22 4 500000000000000000000 20003 0 1 0 1 1 1 2 1 3 1 4 8 1 0 1 1 1 2 1 3 1 4 4 1 0 1 1 1 2 1 3 1 4 6 1 0 1 1 1 2 1 3 1 4 0 1 0 1 1 1 2 1 3 1 4 stakeFunds 100000000000000000000 0 0 stakeFunds 100000000000000000000 4 0 stakeFunds 100000000000000000000 2 0 stakeFunds 100000000000000000000 3 0 stakeFunds 100000000000000000000 0 0 7692307692307693 1.2698113556550986e+21 -2.000003173015873e+23 1.1178243966005886e+21 2619047619047619 824000000000000000000 30769230769230772 1.1803980936849516e+21 7692307692307693 885931810151138600000
7 20170 6 600000000000000000000 2 85000000000000000000 4 600000000000000000000 20002 9 900000000000000000000 2 1.9997034343908225e+22 4 1.09142578125e+22 20005 4 400000000000000000000 2 1e+22 4 421200000000000000000 20063 5 500000000000000000000 2 4.865e+21 4 500000000000000000000 20064 6 600000000000000000000 2 1e+22 4 600000000000000000000 20003 6 1 0 1 1 1 2 1 3 1 4 8 1 0 1 1 1 2 1 3 1 4 8 1 0 1 1 1 2 1 3 1 4 2 1 0 1 1 1 2 1 3 1 4 2 1 0 1 1 1 2 1 3 1 4 stakeFunds 100000000000000000000 3 0 stakeFunds 100000000000000000000 4 0 stakeFunds 100000000000000000000 4 0 stakeFunds 100000000000000000000 1 0 stakeFunds 100000000000000000000 1 0 15873015873015872 1.1873204911394314e+21 -2.0000018423963136e+23 1.0318427212547646e+21 -2.0000018423963136e+23 739666666666666600000 171232876712328.78 1.104083085005794e+21 171232876712328.78 792492304773640000000
8 20205 6 600000000000000000000 2 73333333333333340000 4 600000000000000000000 20002 11 1.1e+21 2 1.999526139782637e+22 4 1.9764013671875e+22 20005 4 400000000000000000000 2 1e+22 4 421200000000000000000 20063 6 600000000000000000000 2 4.801e+21 4 600000000000000000000 20064 8 800000000000000000000 2 1e+22 4 800000000000000000000 20003 8 1 0 1 1 1 2 1 3 1 4 4 1 0 1 1 1 2 1 3 1 4 8 1 0 1 1 1 2 1 3 1 4 2 1 0 1 1 1 2 1 3 1 4 4 1 0 1 1 1 2 1 3 1 4 stakeFunds 100000000000000000000 4 0 stakeFunds 100000000000000000000 2 0 stakeFunds 100000000000000000000 4 0 stakeFunds 100000000000000000000 1 0 stakeFunds 100000000000000000000 2 0 -2.000000779337232e+23 1.1074175741526217e+21 1128205128205128.2 943644893039190300000 -2.000000779337232e+23 657040835707502300000 93843843843843.84 1.0307598710744871e+21 1128205128205128.2 700020721533570300000
9 20240 6 600000000000000000000 2 53333333333333340000 4 600000000000000000000 20002 12 1.2e+21 2 1.999415694020013e+22 4 1.9864013671875e+22 20005 6 600000000000000000000 2 9.997625830959164e+21 4 621201100000000000000 20063 6 600000000000000000000 2 4.741e+21 4 600000000000000000000 20064 10 1e+21 2 1e+22 4 1e+21 20003 2 1 0 1 1 1 2 1 3 1 4 0 1 0 1 1 1 2 1 3 1 4 0 1 0 1 1 1 2 1 3 1 4 6 1 0 1 1 1 2 1 3 1 4 0 1 0 1 1 1 2 1 3 1 4 stakeFunds 100000000000000000000 1 0 stakeFunds 100000000000000000000 0 0 stakeFunds 100000000000000000000 0 0 stakeFunds 100000000000000000000 3 0 stakeFunds 100000000000000000000 0 0 72296124927703.88 1.0341808350943273e+21 2304147465437788 855446382659779600000 2304147465437788 572040835707502400000 9216589861751152 957446674658425700000 2304147465437788 605082363803398000000
10 20275 9 900000000000000000000 2 40000000000000000000 4 900000000000000000000 20002 13 1.3e+21 2 1.9992177077117402e+22 4 3.942596435546875e+22 20005 6 600000000000000000000 2 9.997625830959164e+21 4 621201100000000000000 20063 7 700000000000000000000 2 4.671e+21 4 700000000000000000000 20064 10 1e+21 2 1e+22 4 1e+21 20003 4 1 0 1 1 1 2 1 3 1 4 4 1 0 1 1 1 2 1 3 1 4 4 1 0 1 1 1 2 1 3 1 4 8 1 0 1 1 1 2 1 3 1 4 0 1 0 1 1 1 2 1 3 1 4 stakeFunds 100000000000000000000 2 0 stakeFunds 100000000000000000000 2 0 stakeFunds 100000000000000000000 2 0 stakeFunds 100000000000000000000 4 0 stakeFunds 100000000000000000000 0 0 337941628264208.94 960625005710875200000 337941628264208.94 765514310611417000000 337941628264208.94 484263057929724600000 -2.0000003994005994e+23 887008185649996600000 684931506849315.1 511422021037863100000
