Tick Block StakeCount0 TotalStakeQspWei0 totalStakers0 DepositQspWei0 PoolState0 PoolSizeQspWei0 MinStakeStartBlock0 ActionOfAgent0 WithdrawInterestAgent0 PoolId ActionOfAgent1 WithdrawInterestAgent1 PoolId ActionOfAgent2 WithdrawInterestAgent2 PoolId ActionOfAgent3 WithdrawInterestAgent3 PoolId ActionOfAgent4 WithdrawInterestAgent4 PoolId Method0 Amount0 PoolId0 Error0 Method1 Amount1 PoolId1 Error1 Method2 Amount2 PoolId2 Error2 Method3 Amount3 PoolId3 Error3 Method4 Amount4 PoolId4 Error4 RewardAgent0 BalanceAgent0 RewardAgent1 BalanceAgent1 RewardAgent2 BalanceAgent2 RewardAgent3 BalanceAgent3 RewardAgent4 BalanceAgent4
1 26025 0 0 2 150000000000000000000 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 stakeFunds 100000000000000000000 0 0 stakeFunds 100000000000000000000 0 1 stakeFunds 100000000000000000000 0 1 stakeFunds 100000000000000000000 0 1 stakeFunds 100000000000000000000 0 1 500000000000000000 1.802e+21 0 1.693e+21 0 1.379e+21 0 1.684e+21 0 1.467e+21
2 26035 1 50000000000000000000 2 150000000000000000000 4 50000000000000000000 26031 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 stakeFunds 100000000000000000000 0 1 stakeFunds 100000000000000000000 0 1 stakeFunds 100000000000000000000 0 1 stakeFunds 100000000000000000000 0 1 stakeFunds 100000000000000000000 0 1 0 1.802e+21 0 1.693e+21 0 1.379e+21 0 1.684e+21 0 1.467e+21
3 26050 1 50000000000000000000 2 150000000000000000000 4 50000000000000000000 26031 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 stakeFunds 100000000000000000000 0 1 stakeFunds 100000000000000000000 0 1 stakeFunds 100000000000000000000 0 1 stakeFunds 100000000000000000000 0 1 stakeFunds 100000000000000000000 0 1 0 1.812e+21 0 1.693e+21 0 1.379e+21 0 1.684e+21 0 1.467e+21
4 26065 1 50000000000000000000 2 140000000000000000000 4 50000000000000000000 26031 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 stakeFunds 100000000000000000000 0 1 stakeFunds 100000000000000000000 0 1 stakeFunds 100000000000000000000 0 1 stakeFunds 100000000000000000000 0 1 stakeFunds 100000000000000000000 0 1 0 1.812e+21 0 1.693e+21 0 1.379e+21 0 1.684e+21 0 1.467e+21
5 26080 1 50000000000000000000 2 140000000000000000000 4 50000000000000000000 26031 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 stakeFunds 100000000000000000000 0 1 stakeFunds 100000000000000000000 0 1 stakeFunds 100000000000000000000 0 1 stakeFunds 100000000000000000000 0 1 stakeFunds 100000000000000000000 0 1 0 1.822e+21 0 1.693e+21 0 1.379e+21 0 1.684e+21 0 1.467e+21
6 26095 1 50000000000000000000 2 130000000000000000000 4 50000000000000000000 26031 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 stakeFunds 100000000000000000000 0 1 stakeFunds 100000000000000000000 0 1 stakeFunds 100000000000000000000 0 1 stakeFunds 100000000000000000000 0 1 stakeFunds 100000000000000000000 0 1 0 1.832e+21 0 1.693e+21 0 1.379e+21 0 1.684e+21 0 1.467e+21
7 26110 1 50000000000000000000 2 120000000000000000000 4 50000000000000000000 26031 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 stakeFunds 100000000000000000000 0 1 stakeFunds 100000000000000000000 0 1 stakeFunds 100000000000000000000 0 1 stakeFunds 100000000000000000000 0 1 stakeFunds 100000000000000000000 0 1 0 1.842e+21 0 1.693e+21 0 1.379e+21 0 1.684e+21 0 1.467e+21
8 26125 1 50000000000000000000 2 110000000000000000000 4 50000000000000000000 26031 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 stakeFunds 100000000000000000000 0 1 stakeFunds 100000000000000000000 0 1 stakeFunds 100000000000000000000 0 1 stakeFunds 100000000000000000000 0 1 stakeFunds 100000000000000000000 0 1 0 1.842e+21 0 1.693e+21 0 1.379e+21 0 1.684e+21 0 1.467e+21
9 26140 1 50000000000000000000 2 110000000000000000000 4 50000000000000000000 26031 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 stakeFunds 100000000000000000000 0 1 stakeFunds 100000000000000000000 0 1 stakeFunds 100000000000000000000 0 1 stakeFunds 100000000000000000000 0 1 stakeFunds 100000000000000000000 0 1 0 1.852e+21 0 1.693e+21 0 1.379e+21 0 1.684e+21 0 1.467e+21
10 26155 1 50000000000000000000 2 100000000000000000000 4 50000000000000000000 26031 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 stakeFunds 100000000000000000000 0 1 stakeFunds 100000000000000000000 0 1 stakeFunds 100000000000000000000 0 1 stakeFunds 100000000000000000000 0 1 stakeFunds 100000000000000000000 0 1 0 1.862e+21 0 1.693e+21 0 1.379e+21 0 1.684e+21 0 1.467e+21
